text,drug,effect,indexes,label
"We report a case of a 60-year-old woman affected by squamous lung carcinoma, who developed paroxysmal supraventricular tachycardia during cisplatin and etoposide combination chemotherapy.",cisplatin,carcinoma,0,0
A 64-year-old man presented with proteinuria during postoperative interferon (IFN)-beta therapy against malignant melanoma.,interferon (IFN)-beta,proteinuria,"{'drug': {'start_char': array([], dtype=int32), 'end_char': array([], dtype=int32)}, 'effect': {'start_char': array([33], dtype=int32), 'end_char': array([44], dtype=int32)}}",1
This sulfonamide like nephropathy should be differentiated from acetazolamide-related calcium phosphate nephrolithiasis.,phosphate,nephropathy,0,0
"A patient with Parkinson's disease, initially treated with bromocriptine and subsequently with cabergoline, developed progressive pleuropulmonary abnormalities during the latter therapy.",bromocriptine,pleuropulmonary abnormalities,"{'drug': {'start_char': array([59], dtype=int32), 'end_char': array([72], dtype=int32)}, 'effect': {'start_char': array([130], dtype=int32), 'end_char': array([159], dtype=int32)}}",1
"Within 3 weeks of beginning continuous daily isoniazid and rifampin therapy for pulmonary tuberculosis, a patient developed acute renal failure.",isoniazid,acute renal failure,"{'drug': {'start_char': array([45], dtype=int32), 'end_char': array([54], dtype=int32)}, 'effect': {'start_char': array([124], dtype=int32), 'end_char': array([143], dtype=int32)}}",1
"Treatment with infliximab is known to produce an increase of autoantibodies (antinuclear antibodies, anti-double-stranded DNA), but not clinical disease.",infliximab,anti-double-stranded DNA,"{'drug': {'start_char': array([15], dtype=int32), 'end_char': array([25], dtype=int32)}, 'effect': {'start_char': array([101], dtype=int32), 'end_char': array([125], dtype=int32)}}",1
A 7-year-old girl developed diabetes mellitus and exocrine pancreatic insufficiency after 3.5 years of almost continuous treatment with azathioprine and/or prednisone for idiopathic auto-immune haemolytic anaemia.,azathioprine,anaemia,0,0
A 60-year-old white man with chronic bronchitis was noted to develop acute respiratory failure and metabolic acidosis four days after being started on methazolamide (Neptazane) for an ophthalmologic problem.,methazolamide,acute respiratory failure,"{'drug': {'start_char': array([151], dtype=int32), 'end_char': array([164], dtype=int32)}, 'effect': {'start_char': array([69], dtype=int32), 'end_char': array([94], dtype=int32)}}",1
CONCLUSION: This report describes a case of a probable interaction between topical econazole lotion 1% and acenocoumarol that resulted in overanticoagulation and a life-threatening laryngeal hematoma in this elderly patient.,econazole,overanticoagulation,0,0
We report a case with chronic hepatitis C (CHC) who developed sarcoidosis after the treatment by interferon alpha and ribavirin.,interferon,hepatitis,0,0
This report highlights a case of drug-induced dysphagia in a patient receiving haloperidol for obsessive nocturnal thoughts and auditory disturbances.,haloperidol,dysphagia,"{'drug': {'start_char': array([79], dtype=int32), 'end_char': array([90], dtype=int32)}, 'effect': {'start_char': array([46], dtype=int32), 'end_char': array([55], dtype=int32)}}",1
Baclofen withdrawal syndrome resulting from underdosing of oral baclofen should be considered as a potential source of prolonged fever in the intensive care unit.,baclofen,withdrawal syndrome,"{'drug': {'start_char': array([64], dtype=int32), 'end_char': array([72], dtype=int32)}, 'effect': {'start_char': array([9], dtype=int32), 'end_char': array([28], dtype=int32)}}",1
"We report the first case of fulminant adult respiratory distress syndrome (ARDS) associated with pegylated interferon alpha-2a (pegIFNalpha-2a) and ribavirin use for hepatitis C, complicated by subsequent and ultimately fatal sepsis and multiorgan failure.",ribavirin,fatal,0,0
"We report the first case of a human immunodeficiency virus type 1 (HIV-1)-infected individual receiving combination antiretroviral therapy, which included ritonavir, who developed Cushing syndrome with profound complications after epidural triamcinolone injections.",ritonavir,immunodeficiency,0,0
Myoclonus and seizures disappeared after discontinuation of L-dopa and the introduction of valproate sodium (VPA).,valproate,seizures,0,0
Flutamide withdrawal syndrome is characterized by a decrease in prostate-specific antigen (PSA) after flutamide withdrawal in a subset of patients with progressing metastatic carcinoma of the prostate.,Flutamide,decrease in prostate-specific antigen,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([9], dtype=int32)}, 'effect': {'start_char': array([52], dtype=int32), 'end_char': array([89], dtype=int32)}}",1
"Within 3 weeks of beginning continuous daily isoniazid and rifampin therapy for pulmonary tuberculosis, a patient developed acute renal failure.",rifampin,tuberculosis,0,0
"Benzocaine, an ester-type local anesthetic, was believed responsible for apparent methemoglobinemia in a cat.",Benzocaine,methemoglobinemia,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([10], dtype=int32)}, 'effect': {'start_char': array([82], dtype=int32), 'end_char': array([99], dtype=int32)}}",1
A young diamond dealer developed visual impairment attributed to bilateral posterior subcapsular cataracts following only four courses of intermittent Decadron used as part of a five-drug antiemetic regimen for cisplatin-associated nausea.,Decadron,visual impairment,"{'drug': {'start_char': array([151], dtype=int32), 'end_char': array([159], dtype=int32)}, 'effect': {'start_char': array([33], dtype=int32), 'end_char': array([50], dtype=int32)}}",1
Posthypoglycemic hyperglycemia (rebound hyperglycemia) after overdosing of insulin was diagnosed in 6 cats with diabetes mellitus.,insulin,Posthypoglycemic hyperglycemia,"{'drug': {'start_char': array([75], dtype=int32), 'end_char': array([82], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([30], dtype=int32)}}",1
This is an image and brief case report of a 13-year-old boy who presented with severe rash and systemic symptoms after starting oxcarbazepine.,oxcarbazepine,severe rash,"{'drug': {'start_char': array([128], dtype=int32), 'end_char': array([141], dtype=int32)}, 'effect': {'start_char': array([79], dtype=int32), 'end_char': array([90], dtype=int32)}}",1
The use of methotrexate (MTX) has been contraindicated for treatment of severe psoriasis in HIV infection on the basis of six previously reported cases in which MTX appeared to potentiate opportunistic infections and accelerate HIV disease.,methotrexate,psoriasis,0,0
This case highlights the need to monitor liver enzymes in patients treated with 6-TG and identifies the need for additional research focused on the mechanism of thiopurine-induced hepatic injury.,thiopurine,hepatic injury,"{'drug': {'start_char': array([161], dtype=int32), 'end_char': array([171], dtype=int32)}, 'effect': {'start_char': array([180], dtype=int32), 'end_char': array([194], dtype=int32)}}",1
"In rare cases mitomycin C (MMC) may induce cancer-associated hemolytic uremic syndrome, which is characterized by hemolytic anemia, thrombocytopenia and progressive renal failure.",mitomycin C,progressive renal failure,"{'drug': {'start_char': array([14], dtype=int32), 'end_char': array([25], dtype=int32)}, 'effect': {'start_char': array([153], dtype=int32), 'end_char': array([178], dtype=int32)}}",1
Meperidine-associated central nervous system (CNS) excitatory toxicities are believed to be caused by accumulation of the active metabolite normeperidine.,Meperidine,central nervous system (CNS) excitatory toxicities,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([10], dtype=int32)}, 'effect': {'start_char': array([], dtype=int32), 'end_char': array([], dtype=int32)}}",1
"Adverse effects of amiodarone including pulmonary toxicity, hepatotoxicity, aggravation of arrhythmia, and thyroid diseases are well understood.",amiodarone,hepatotoxicity,"{'drug': {'start_char': array([19], dtype=int32), 'end_char': array([29], dtype=int32)}, 'effect': {'start_char': array([60], dtype=int32), 'end_char': array([74], dtype=int32)}}",1
Administration of cisplatin in three patients with carboplatin hypersensitivity: is skin testing useful?,carboplatin,hypersensitivity,"{'drug': {'start_char': array([51], dtype=int32), 'end_char': array([62], dtype=int32)}, 'effect': {'start_char': array([63], dtype=int32), 'end_char': array([79], dtype=int32)}}",1
Thiopurine methyltransferase deficiency occurs at a frequency of one in 300 and is associated with profound myelosuppression after a short course of azathioprine.,azathioprine,myelosuppression,"{'drug': {'start_char': array([149], dtype=int32), 'end_char': array([161], dtype=int32)}, 'effect': {'start_char': array([108], dtype=int32), 'end_char': array([124], dtype=int32)}}",1
This case demonstrates the association of selective IgA deficiency with remission in rheumatoid arthritis induced by fenclofenac as well as aurothiomalate and sulphasalazine.,aurothiomalate,arthritis,0,0
Acute dystonia with thalamic and brainstem lesions after initial penicillamine treatment in Wilson's disease.,penicillamine,thalamic and brainstem lesions,"{'drug': {'start_char': array([65], dtype=int32), 'end_char': array([78], dtype=int32)}, 'effect': {'start_char': array([20], dtype=int32), 'end_char': array([50], dtype=int32)}}",1
"We describe a patient with rheumatoid arthritis treated with gold salts, who developed bilateral interstitial pulmonary abnormalities and showed a dramatic response on corticosteroid therapy.",corticosteroid,arthritis,0,0
This case report describes an adolescent with severe lupus erythematosus who received cyclophosphamide (CY) paired with taste (cod liver oil) and smell (rose perfume) as conditioned stimuli.,CY,severe lupus erythematosus,"{'drug': {'start_char': array([104], dtype=int32), 'end_char': array([106], dtype=int32)}, 'effect': {'start_char': array([46], dtype=int32), 'end_char': array([72], dtype=int32)}}",1
These cases were chosen for study because they were all deaths as a result of suicidal ingestion of drugs in which quetiapine was considered a significant factor.,quetiapine,deaths,"{'drug': {'start_char': array([115], dtype=int32), 'end_char': array([125], dtype=int32)}, 'effect': {'start_char': array([56], dtype=int32), 'end_char': array([62], dtype=int32)}}",1
A 65-year-old woman with bipolar disorder and complicated cardiovascular disease who was on maintenance lithium therapy developed a movement disorder following high doses of trazodone for treatment of an acute depression.,lithium,movement disorder,"{'drug': {'start_char': array([104], dtype=int32), 'end_char': array([111], dtype=int32)}, 'effect': {'start_char': array([132], dtype=int32), 'end_char': array([149], dtype=int32)}}",1
"Although major hazards of treatment of hypophosphatemic osteomalacia with phosphate and calcitriol are secondary hyperparathyroidism and vitamin D intoxication, potassium loss also should be kept in mind.",calcitriol,osteomalacia,0,0
"OBJECTIVE: The purpose of this study was to report the concomitant occurrence of multiple squamous cell carcinomas and diffuse nail hyperpigmentation associated with hydroxyurea treatment, and to describe a successful therapeutic approach using imiquimod 5%.",imiquimod,hyperpigmentation,0,0
